lon (deg E),lat (deg N)
-97.469,25.953
-98.474,26.820
-80.798,25.699
-99.501,27.680
-98.502,27.709
-97.501,27.729
-81.608,26.717
-80.634,26.572
-99.540,28.571
-98.529,28.600
-97.518,28.620
-82.439,27.732
-81.451,27.594
-80.466,27.448
-103.658,29.243
-100.602,29.424
-99.580,29.464
-98.558,29.494
-97.535,29.514
-96.512,29.524
-95.488,29.524
-90.378,29.373
-82.288,28.613
-81.290,28.474
-103.745,30.135
-102.716,30.206
-101.686,30.267
-100.654,30.318
-99.621,30.359
-98.587,30.390
-97.553,30.410
-96.518,30.420
-95.482,30.420
-94.447,30.410
-93.413,30.390
-92.379,30.359
-91.346,30.318
-85.183,29.861
-83.147,29.628
-82.135,29.497
-81.125,29.356
-104.872,30.946
-103.833,31.029
-102.793,31.101
-101.751,31.163
-100.707,31.215
-99.663,31.256
-98.617,31.287
-97.570,31.308
-96.524,31.318
-95.476,31.318
-94.430,31.308
-93.383,31.287
-92.337,31.256
-91.293,31.215
-90.249,31.163
-89.207,31.101
-88.167,31.029
-87.128,30.946
-86.093,30.854
-85.059,30.751
-84.029,30.638
-83.001,30.515
-81.977,30.382
-109.148,31.404
-106.022,31.747
-104.974,31.841
-103.924,31.925
-102.872,31.998
-101.818,32.061
-100.762,32.113
-99.705,32.155
-98.647,32.186
-97.589,32.207
-96.530,32.218
-95.470,32.218
-94.411,32.207
-93.353,32.186
-92.295,32.155
-91.238,32.113
-90.182,32.061
-89.128,31.998
-88.076,31.925
-87.026,31.841
-85.978,31.747
-84.933,31.643
-83.891,31.529
-82.852,31.404
-81.816,31.270
-112.431,31.855
-111.391,32.011
-110.348,32.158
-109.301,32.295
-108.250,32.421
-107.196,32.537
-106.139,32.642
-105.079,32.737
-104.017,32.822
-102.953,32.896
-101.886,32.960
-100.818,33.013
-99.749,33.055
-98.679,33.087
-97.607,33.108
-96.536,33.119
-95.464,33.119
-94.393,33.108
-93.321,33.087
-92.251,33.055
-91.182,33.013
-90.114,32.960
-89.047,32.896
-87.983,32.822
-86.921,32.737
-85.861,32.642
-84.804,32.537
-83.750,32.421
-82.699,32.295
-81.652,32.158
-113.669,32.571
-112.622,32.740
-111.571,32.899
-110.516,33.048
-109.457,33.186
-108.395,33.314
