lon (deg E),lat (deg N)
-106.293,34.785
-105.476,34.859
-104.657,34.926
-103.837,34.988
-103.015,35.043
-102.193,35.092
-101.369,35.135
-100.545,35.172
-99.719,35.203
-98.893,35.228
-98.067,35.246
-97.240,35.259
-96.413,35.265
-95.587,35.265
-94.760,35.259
-93.933,35.246
-93.107,35.228
-92.281,35.203
-91.455,35.172
-90.631,35.135
-89.807,35.092
-88.985,35.043
-88.163,34.988
-87.343,34.926
-86.524,34.859
-85.707,34.785
-84.892,34.705
-84.078,34.620
-83.266,34.528
-82.456,34.430
-81.649,34.327
-80.843,34.217
-80.040,34.102
-79.240,33.981
-117.694,33.789
-116.905,33.947
-116.112,34.098
-115.316,34.244
-114.517,34.384
-113.715,34.518
-112.911,34.647
-112.103,34.769
-111.293,34.885
-110.481,34.996
-109.666,35.101
-108.849,35.199
-108.030,35.292
-107.209,35.378
-106.387,35.459
-105.562,35.533
-104.736,35.601
-103.908,35.663
-103.079,35.719
-102.249,35.769
-101.418,35.812
-100.586,35.850
-99.753,35.881
-98.920,35.906
-98.086,35.924
-97.252,35.937
-96.417,35.943
-95.583,35.943
-94.748,35.937
-93.914,35.924
-93.080,35.906
-92.247,35.881
-91.414,35.850
-90.582,35.812
-89.751,35.769
-88.921,35.719
-88.092,35.663
-87.264,35.601
-86.438,35.533
-85.613,35.459
-84.791,35.378
-83.970,35.292
-83.151,35.199
-82.334,35.101
-81.519,34.996
-80.707,34.885
-79.897,34.769
-79.089,34.647
-78.285,34.518
-118.680,34.283
-117.888,34.447
-117.092,34.606
-116.292,34.759
-115.490,34.906
-114.684,35.048
-113.875,35.183
-113.064,35.313
-112.249,35.436
-111.432,35.554
-110.613,35.666
-109.791,35.771
-108.967,35.871
-108.141,35.964
-107.312,36.052
-106.482,36.133
-105.650,36.208
-104.816,36.277
-103.981,36.339
-103.145,36.396
-102.307,36.446
-101.468,36.490
-100.629,36.528
-99.788,36.559
-98.947,36.584
-98.105,36.603
-97.263,36.616
-96.421,36.622
-95.579,36.622
-94.737,36.616
-93.895,36.603
-93.053,36.584
-92.212,36.559
-91.371,36.528
-90.532,36.490
-89.693,36.446
-88.855,36.396
-88.019,36.339
-87.184,36.277
-86.350,36.208
-85.518,36.133
-84.688,36.052
-83.859,35.964
-83.033,35.871
-82.209,35.771
-81.387,35.666
-80.568,35.554
-79.751,35.436
-78.936,35.313
-78.125,35.183
-77.316,35.048
-76.510,34.906
-120.471,34.590
-119.679,34.768
-118.884,34.939
-118.084,35.105
-117.282,35.266
-116.476,35.420
-115.666,35.569
-114.854,35.712
-114.038,35.848
-113.220,35.979
-112.398,36.104
-111.574,36.223
-110.747,36.336
-109.918,36.442
-109.087,36.543
-108.253,36.637
-107.417,36.725
-106.579,36.807
-105.740,36.883
-104.898,36.952
-104.056,37.016
-103.211,37.073
-102.366,37.123
-101.519,37.168
-100.672,37.206
-99.824,37.238
-98.975,37.263
-98.125,37.282
-97.275,37.295
-96.425,37.301
-95.575,37.301
-94.725,37.295
-93.875,37.282
-93.025,37.263
-92.176,37.238
-91.328,37.206
-90.481,37.168
-89.634,37.123
-88.789,37.073
-87.944,37.016
-87.102,36.952
-86.260,36.883
-85.421,36.807
-84.583,36.725
-83.747,36.637
-82.913,36.543
-82.082,36.442
-81.253,36.336
-80.426,36.223
-79.602,36.104
-78.780,35.979
-77.962,35.848
-77.146,35.712
-76.334,35.569
-120.691,35.243
-119.893,35.423
-119.091,35.596
-118.285,35.764
-117.475,35.926
-116.662,36.081
-115.846,36.231
-115.027,36.376
-114.204,36.514
-113.378,36.646
-112.550,36.772
-111.718,36.892
-110.884,37.005
-110.047,37.113
-109.208,37.215
-108.367,37.310
-107.524,37.399
-106.678,37.482
-105.831,37.558
-104.982,37.628
-104.131,37.692
-103.279,37.750
-102.426,37.801
-101.571,37.846
-100.716,37.884
-99.860,37.916
-99.003,37.942
-98.145,37.961
-97.287,37.974
-96.429,37.980
-95.571,37.980
-94.713,37.974
-93.855,37.961
-92.997,37.942
-92.140,37.916
-91.284,37.884
-90.429,37.846
-89.574,37.801
-88.721,37.750
-87.869,37.692
-87.018,37.628
-86.169,37.558
-85.322,37.482
-84.476,37.399
-83.633,37.310
-82.792,37.215
-81.953,37.113
-81.116,37.005
-80.282,36.892
-79.450,36.772
-78.622,36.646
-77.796,36.514
-76.973,36.376
-76.154,36.231
-120.915,35.897
-120.110,36.078
-119.301,36.253
-118.489,36.422
-117.672,36.585
-116.853,36.743
-116.029,36.894
-115.203,37.040
-114.373,37.179
-113.540,37.312
-112.704,37.440
-111.865,37.561
-111.023,37.675
-110.179,37.784
-109.333,37.887
-108.484,37.983
-107.632,38.073
-106.779,38.156
-105.924,38.233
-105.067,38.304
-104.208,38.369
-103.348,38.427
-102.487,38.478
-101.624,38.524
-100.761,38.562
-99.896,38.595
-99.031,38.621
-98.166,38.640
-97.299,38.653
-96.433,38.660
-95.567,38.660
-94.701,38.653
-93.834,38.640
-92.969,38.621
-92.104,38.595
-91.239,38.562
-90.376,38.524
-89.513,38.478
-88.652,38.427
-87.792,38.369
-86.933,38.304
-86.076,38.233
-85.221,38.156
-84.368,38.073
-83.516,37.983
-82.667,37.887
-81.821,37.784
-80.977,37.675
-80.135,37.561
-79.296,37.440
-78.460,37.312
-77.627,37.179
-76.797,37.040
-121.143,36.550
-120.331,36.733
-119.516,36.909
-118.696,37.080
-117.873,37.245
-117.046,37.404
-116.216,37.557
-115.382,37.704
-114.545,37.844
-113.704,37.979
-112.861,38.107
-112.015,38.229
-111.165,38.345
-110.313,38.455
-109.459,38.559
-108.602,38.656
-107.743,38.746
-106.882,38.831
-106.019,38.909
-105.154,38.980
-104.287,39.045
-103.419,39.104
-102.549,39.156
-101.678,39.202
-100.807,39.241
-99.934,39.273
-99.060,39.300
-98.186,39.319
-97.312,39.332
-96.437,39.339
-95.563,39.339
-94.688,39.332
-93.814,39.319
-92.940,39.300
-92.066,39.273
-91.193,39.241
-90.322,39.202
-89.451,39.156
-88.581,39.104
-87.713,39.045
-86.846,38.980
-85.981,38.909
-85.118,38.831
-84.257,38.746
-83.398,38.656
-82.541,38.559
-81.687,38.455
-80.835,38.345
-79.985,38.229
-79.139,38.107
-78.296,37.979
-77.455,37.844
-76.618,37.704
-75.784,37.557
-121.375,37.203
-120.556,37.387
-119.734,37.566
-118.908,37.738
-118.078,37.904
-117.244,38.065
-116.406,38.219
-115.565,38.367
-114.720,38.509
-113.872,38.645
-113.021,38.775
-112.167,38.898
-111.310,39.015
-110.450,39.126
-109.588,39.230
-108.723,39.328
-107.856,39.420
-106.987,39.505
-106.115,39.584
-105.242,39.656
-104.367,39.722
-103.490,39.781
-102.613,39.833
-101.733,39.880
-100.853,39.919
-99.972,39.952
-99.090,39.978
-98.208,39.998
-97.325,40.011
-96.442,40.018
-95.558,40.018
-94.675,40.011
-93.792,39.998
-92.910,39.978
-92.028,39.952
-91.147,39.919
-90.267,39.880
-89.387,39.833
-88.510,39.781
-87.633,39.722
-86.758,39.656
-85.885,39.584
-85.013,39.505
-84.144,39.420
-83.277,39.328
-82.412,39.230
-81.550,39.126
-80.690,39.015
-79.833,38.898
-78.979,38.775
-78.128,38.645
-76.435,38.367
-75.594,38.219
-122.431,37.664
-121.611,37.856
-120.786,38.042
-119.956,38.222
-119.123,38.396
-118.286,38.564
-117.444,38.725
-116.599,38.881
-115.751,39.031
-114.899,39.174
-114.043,39.311
-113.184,39.442
-112.322,39.567
-111.457,39.685
-110.590,39.796
-109.719,39.902
-108.846,40.001
-107.971,40.093
-107.093,40.179
-106.214,40.259
-105.332,40.331
-104.449,40.398
-103.564,40.457
-102.677,40.511
-101.790,40.557
-100.901,40.597
-100.011,40.630
-99.120,40.657
-98.229,40.677
-97.338,40.690
-96.446,40.697
-95.554,40.697
-94.662,40.690
-93.771,40.677
-92.880,40.657
-91.989,40.630
-91.099,40.597
-90.210,40.557
-89.323,40.511
-88.436,40.457
-87.551,40.398
-86.668,40.331
-85.786,40.259
-84.907,40.179
-84.029,40.093
-83.154,40.001
-82.281,39.902
-81.410,39.796
-80.543,39.685
-79.678,39.567
-78.816,39.442
-77.957,39.311
-77.101,39.174
-75.401,38.881
-122.679,38.314
-121.851,38.508
-121.019,38.696
-120.183,38.877
-119.342,39.053
-118.498,39.222
-117.649,39.386
-116.797,39.543
-115.940,39.694
-115.080,39.839
-114.217,39.977
-113.350,40.109
-112.481,40.235
-111.608,40.354
-110.732,40.467
-109.853,40.573
-108.972,40.673
-108.088,40.766
-107.202,40.853
-106.314,40.933
-105.424,41.007
-104.532,41.074
-103.638,41.134
-102.743,41.188
-101.847,41.234
-100.949,41.275
-100.051,41.308
-99.151,41.335
-98.251,41.355
-97.351,41.369
-96.450,41.376
-95.550,41.376
-94.649,41.369
-93.749,41.355
-92.849,41.335
-91.949,41.308
-91.051,41.275
-90.153,41.234
-89.257,41.188
-88.362,41.134
-87.468,41.074
-86.576,41.007
-85.686,40.933
-84.798,40.853
-83.912,40.766
-83.028,40.673
-82.147,40.573
-81.268,40.467
-80.392,40.354
-79.519,40.235
-78.650,40.109
-77.783,39.977
-76.920,39.839
-76.060,39.694
-75.203,39.543
-122.931,38.964
-122.096,39.160
-121.257,39.349
-120.414,39.532
-119.566,39.710
-118.714,39.881
-117.858,40.045
-116.997,40.204
-116.134,40.356
-115.266,40.502
-114.395,40.642
-113.520,40.775
-112.642,40.902
-111.761,41.023
-110.877,41.136
-109.990,41.244
-109.100,41.345
-108.208,41.439
-107.313,41.526
-106.416,41.607
-105.518,41.681
-104.617,41.749
-103.714,41.810
-102.810,41.864
-101.905,41.911
-100.999,41.952
-100.091,41.986
-99.183,42.013
-98.274,42.033
-97.365,42.047
-96.455,42.054
-95.545,42.054
-94.635,42.047
-93.726,42.033
-92.817,42.013
-91.909,41.986
-91.001,41.952
-90.095,41.911
-89.190,41.864
-88.286,41.810
-86.482,41.681
-85.584,41.607
-84.687,41.526
-83.792,41.439
-82.900,41.345
-82.010,41.244
-81.123,41.136
-80.239,41.023
-79.358,40.902
-78.480,40.775
-77.605,40.642
-76.734,40.502
-75.866,40.356
-75.003,40.204
-74.142,40.045
-123.187,39.614
-122.345,39.811
-121.499,40.002
-120.649,40.187
-119.793,40.366
-118.934,40.538
-118.070,40.705
-117.202,40.865
-116.330,41.019
-115.455,41.166
-114.576,41.307
-113.693,41.441
-112.806,41.569
-111.917,41.691
-111.024,41.806
-110.129,41.914
-109.231,42.016
-108.330,42.111
-107.426,42.199
-106.521,42.281
-105.613,42.356
-104.703,42.424
-103.792,42.485
-102.879,42.540
-101.965,42.588
-101.049,42.629
-100.132,42.663
-99.215,42.690
-98.297,42.711
-97.378,42.725
-96.459,42.732
-95.541,42.732
-94.622,42.725
-93.703,42.711
-92.785,42.690
-91.868,42.663
-90.951,42.629
-90.035,42.588
-89.121,42.540
-88.208,42.485
-85.479,42.281
-84.574,42.199
-83.670,42.111
-81.871,41.914
-80.976,41.806
-80.083,41.691
-79.194,41.569
-78.307,41.441
-77.424,41.307
-76.545,41.166
-75.670,41.019
-74.798,40.865
-73.930,40.705
-123.448,40.262
-122.600,40.461
-121.746,40.654
-120.888,40.841
-120.025,41.021
-119.158,41.195
-118.287,41.363
-117.411,41.525
-116.531,41.680
-115.647,41.829
-114.760,41.971
-113.869,42.107
-112.974,42.236
-112.076,42.358
-111.175,42.474
-110.271,42.584
-109.364,42.686
-108.454,42.782
-107.542,42.871
-106.627,42.954
-105.710,43.029
-104.792,43.098
-103.871,43.160
-102.949,43.215
-102.025,43.264
-101.101,43.305
-100.175,43.340
-99.248,43.367
-98.320,43.388
-97.392,43.402
-96.464,43.409
-95.536,43.409
-94.608,43.402
-93.680,43.388
-92.752,43.367
-91.825,43.340
-90.899,43.305
-89.975,43.264
-89.051,43.215
-88.129,43.160
-85.373,42.954
-84.458,42.871
-83.546,42.782
-82.636,42.686
-79.924,42.358
-79.026,42.236
-78.131,42.107
-77.240,41.971
-76.353,41.829
-75.469,41.680
-74.589,41.525
-73.713,41.363
-123.714,40.910
-122.858,41.111
-121.998,41.305
-121.132,41.494
-120.262,41.676
-119.387,41.852
-118.507,42.021
-117.624,42.184
-116.736,42.341
-115.844,42.491
-114.948,42.634
-114.048,42.771
-113.145,42.901
-112.239,43.025
-111.329,43.142
-110.416,43.253
-109.500,43.356
-108.581,43.453
-107.660,43.543
-106.736,43.626
-105.810,43.702
-104.882,43.772
-103.952,43.834
-103.020,43.890
-102.087,43.939
-101.153,43.981
-100.218,44.015
-99.281,44.043
-98.344,44.064
-97.407,44.078
-96.469,44.085
-95.531,44.085
-94.593,44.078
-93.656,44.064
-92.719,44.043
-91.782,44.015
-90.847,43.981
-89.913,43.939
-88.980,43.890
-88.048,43.834
-86.190,43.702
-85.264,43.626
-84.340,43.543
-83.419,43.453
-78.855,42.901
-77.952,42.771
-77.052,42.634
-76.156,42.491
-75.264,42.341
-74.376,42.184
-73.493,42.021
-72.613,41.852
-71.738,41.676
-70.002,41.305
-123.985,41.557
-123.122,41.760
-122.254,41.956
-121.381,42.146
-120.503,42.330
-119.620,42.507
-118.732,42.678
-117.841,42.842
-116.945,43.000
-116.044,43.152
-115.140,43.297
-114.232,43.435
-113.320,43.566
-112.404,43.691
-111.486,43.809
-110.564,43.921
-109.638,44.025
-108.711,44.123
-107.780,44.214
-106.847,44.297
-105.911,44.374
-104.974,44.445
-104.035,44.508
-103.093,44.564
-102.151,44.613
-101.207,44.655
-100.262,44.690
-99.316,44.718
-98.369,44.740
-97.421,44.754
-96.474,44.761
-95.526,44.761
-94.579,44.754
-93.631,44.740
-92.684,44.718
-91.738,44.690
-90.793,44.655
-89.849,44.613
-88.907,44.564
-87.965,44.508
-86.089,44.374
-85.153,44.297
-84.220,44.214
-76.860,43.297
-75.956,43.152
-75.055,43.000
-74.159,42.842
-73.268,42.678
-72.380,42.507
-71.497,42.330
-124.262,42.203
-123.391,42.407
-122.515,42.605
-121.634,42.797
-120.748,42.982
-119.858,43.161
-118.962,43.334
-118.062,43.500
-117.157,43.659
-116.249,43.812
-115.336,43.958
-114.419,44.098
-113.498,44.230
-112.573,44.356
-111.646,44.475
-110.714,44.588
-109.780,44.693
-108.843,44.792
-107.903,44.883
-106.960,44.968
-106.015,45.046
-105.068,45.116
-104.119,45.180
-103.168,45.237
-102.215,45.286
-101.261,45.329
-100.306,45.364
-99.350,45.393
-98.394,45.414
-97.436,45.428
-96.479,45.435
-95.521,45.435
-94.564,45.428
-93.606,45.414
-92.650,45.393
-91.694,45.364
-90.739,45.329
-89.785,45.286
-88.832,45.237
-87.881,45.180
-85.040,44.968
-84.097,44.883
-75.751,43.812
-74.843,43.659
-73.938,43.500
-73.038,43.334
-72.142,43.161
-71.252,42.982
-123.665,43.054
-122.782,43.254
-121.893,43.447
-120.999,43.634
-120.100,43.815
-119.196,43.989
-118.288,44.156
-117.375,44.317
-116.457,44.471
-115.535,44.618
-114.609,44.759
-113.680,44.893
-112.746,45.020
-111.809,45.140
-110.868,45.254
-109.924,45.360
-108.978,45.460
-108.028,45.552
-107.076,45.637
-106.121,45.716
-105.164,45.787
-104.205,45.851
-103.244,45.909
-102.281,45.959
-101.317,46.002
-100.352,46.038
-99.386,46.066
-98.419,46.088
-97.452,46.102
-96.484,46.109
-95.516,46.109
-94.548,46.102
-93.581,46.088
-92.614,46.066
-91.648,46.038
-90.683,46.002
-89.719,45.959
-88.756,45.909
-87.795,45.851
-86.836,45.787
-84.924,45.637
-75.543,44.471
-74.625,44.317
-73.712,44.156
-72.804,43.989
-71.900,43.815
-71.001,43.634
-123.945,43.699
-123.053,43.901
-122.157,44.096
-121.254,44.285
-120.347,44.467
-119.435,44.642
-118.518,44.811
-117.596,44.973
-116.670,45.129
-115.739,45.278
-114.804,45.420
-113.865,45.555
-112.922,45.683
-111.976,45.804
-111.025,45.919
-110.072,46.026
-109.115,46.126
-108.156,46.220
-107.194,46.306
-106.229,46.385
-105.262,46.457
-104.293,46.522
-103.321,46.579
-102.349,46.630
-101.374,46.673
-100.399,46.709
-99.422,46.738
-98.445,46.760
-97.467,46.775
-96.489,46.782
-95.511,46.782
-94.533,46.775
-93.555,46.760
-92.578,46.738
-91.601,46.709
-89.651,46.630
-88.679,46.579
-87.707,46.522
-86.738,46.457
-85.771,46.385
-84.806,46.306
-74.404,44.973
-73.482,44.811
-72.565,44.642
-71.653,44.467
-70.746,44.285
-69.843,44.096
-123.330,44.547
-122.426,44.744
-121.515,44.934
-120.600,45.118
-119.679,45.295
-118.753,45.465
-117.822,45.629
-116.887,45.786
-115.947,45.936
-115.003,46.079
-114.054,46.215
-113.102,46.345
-112.146,46.467
-111.186,46.582
-110.223,46.691
-109.256,46.792
-108.287,46.886
-107.314,46.973
-106.339,47.053
-105.362,47.125
-104.382,47.191
-103.401,47.249
-102.418,47.300
-101.433,47.344
-100.447,47.380
-99.460,47.409
-98.472,47.431
-97.483,47.446
-96.494,47.453
-95.506,47.453
-94.517,47.446
-93.528,47.431
-92.540,47.409
-91.553,47.380
-71.400,45.118
-70.485,44.934
-69.574,44.744
-123.613,45.191
-122.700,45.390
-121.781,45.582
-120.857,45.767
-119.927,45.946
-118.993,46.118
-118.053,46.283
-117.109,46.441
-116.159,46.592
-115.206,46.737
-114.248,46.874
-113.286,47.005
-112.320,47.128
-111.350,47.245
-110.377,47.354
-109.400,47.456
-108.420,47.551
-107.437,47.639
-106.452,47.719
-105.464,47.793
-104.474,47.859
-103.482,47.917
-102.488,47.969
-101.492,48.013
-100.496,48.050
-99.498,48.079
-98.499,48.101
-97.500,48.116
-96.500,48.123
-95.500,48.123
-94.500,48.116
-93.501,48.101
-92.502,48.079
-91.504,48.050
-90.508,48.013
-70.219,45.582
-69.300,45.390
-68.387,45.191
-67.479,44.986
-123.901,45.834
-122.980,46.034
-122.053,46.228
-121.120,46.415
-120.181,46.595
-119.238,46.769
-118.289,46.935
-117.335,47.095
-116.376,47.247
-115.413,47.393
-114.445,47.532
-113.473,47.664
-112.497,47.788
-111.517,47.906
-110.534,48.016
-109.547,48.119
-108.557,48.215
-107.563,48.303
-106.567,48.384
-105.569,48.458
-104.568,48.525
-103.565,48.584
-102.560,48.636
-101.553,48.681
-100.546,48.718
-99.537,48.747
-98.527,48.770
-97.516,48.785
-96.505,48.792
-95.495,48.792
-69.947,46.228
-69.020,46.034
-68.099,45.834
-123.266,46.677
-122.330,46.873
-121.388,47.061
-120.440,47.243
-119.488,47.418
-118.529,47.586
-117.566,47.747
-116.598,47.901
-115.625,48.048
-114.647,48.188
-113.665,48.321
-112.679,48.446
-111.689,48.565
-110.695,48.676
-109.697,48.780
-108.696,48.877
-107.692,48.966
-69.670,46.873
-68.734,46.677
-67.804,46.475
-123.557,47.319
-122.612,47.516
-121.662,47.706
-120.705,47.889
-119.743,48.066
-118.775,48.235
-117.802,48.398
-116.824,48.553
-115.841,48.701
-114.853,48.842
-113.861,48.976
-123.855,47.958
-121.941,48.349
-120.975,48.534
-120.004,48.712
-119.026,48.882
-122.227,48.990
