lon (deg E),lat (deg N)
-98.587,26.484
-97.848,26.501
-80.979,25.390
-99.353,27.128
-98.609,27.150
-97.864,27.167
-81.584,26.152
-80.858,26.044
-80.134,25.932
-99.381,27.795
-98.630,27.817
-97.879,27.834
-82.200,26.912
-81.467,26.809
-80.735,26.700
-100.166,28.435
-99.409,28.463
-98.652,28.486
-97.895,28.502
-97.137,28.514
-82.087,27.571
-81.348,27.467
-80.610,27.357
-100.201,29.105
-99.438,29.133
-98.675,29.155
-97.911,29.172
-97.146,29.184
-96.382,29.189
-95.618,29.189
-81.972,28.232
-81.226,28.126
-104.073,29.548
-103.307,29.605
-101.005,29.741
-100.237,29.775
-99.467,29.804
-98.697,29.826
-97.927,29.843
-97.156,29.855
-96.385,29.861
-95.615,29.861
-94.844,29.855
-94.073,29.843
-93.303,29.826
-92.533,29.804
-91.763,29.775
-90.995,29.741
-82.608,28.994
-81.855,28.893
-81.103,28.787
-104.141,30.217
-103.370,30.274
-102.597,30.326
-101.823,30.372
-101.048,30.412
-100.273,30.447
-99.497,30.475
-98.720,30.498
-97.943,30.516
-97.166,30.527
-96.389,30.533
-95.611,30.533
-94.834,30.527
-94.057,30.516
-93.280,30.498
-92.503,30.475
-91.727,30.447
-90.952,30.412
-89.403,30.326
-84.784,29.931
-83.256,29.755
-82.495,29.658
-81.736,29.556
-104.988,30.824
-104.211,30.887
-103.433,30.945
-102.653,30.997
-101.873,31.044
-101.092,31.084
-100.310,31.119
-99.527,31.148
-98.744,31.172
-97.960,31.189
-97.176,31.201
-96.392,31.207
-95.608,31.207
-94.824,31.201
-94.040,31.189
-93.256,31.172
-92.473,31.148
-91.690,31.119
-90.908,31.084
-90.127,31.044
-89.347,30.997
-88.567,30.945
-87.789,30.887
-87.012,30.824
-86.236,30.754
-85.461,30.679
-84.689,30.599
-83.917,30.512
-83.148,30.420
-82.380,30.323
-81.615,30.219
-105.848,31.424
-105.066,31.494
-104.282,31.559
-103.497,31.617
-102.711,31.670
-101.924,31.717
-101.136,31.758
-100.347,31.793
-99.558,31.822
-98.768,31.846
-97.977,31.863
-97.186,31.875
-96.395,31.881
-95.605,31.881
-94.814,31.875
-94.023,31.863
-93.232,31.846
-92.442,31.822
-91.653,31.793
-90.864,31.758
-90.076,31.717
-89.289,31.670
-88.503,31.617
-87.718,31.559
-86.934,31.494
-86.152,31.424
-85.371,31.348
-84.591,31.267
-83.813,31.180
-83.038,31.087
-82.263,30.988
-110.634,31.549
-109.855,31.655
-109.075,31.754
-108.292,31.848
-107.508,31.936
-106.722,32.018
-105.934,32.095
-105.145,32.166
-104.355,32.231
-103.563,32.290
-102.770,32.343
-101.976,32.390
-101.181,32.432
-100.385,32.467
-99.589,32.497
-98.792,32.521
-97.994,32.539
-97.197,32.550
-96.399,32.556
-95.601,32.556
-94.803,32.550
-94.006,32.539
-93.208,32.521
-92.411,32.497
-91.615,32.467
-90.819,32.432
-90.024,32.390
-89.230,32.343
-88.437,32.290
-87.645,32.231
-86.855,32.166
-86.066,32.095
-85.278,32.018
-84.492,31.936
-83.708,31.848
-82.925,31.754
-82.145,31.655
-81.366,31.549
-112.324,31.985
-111.544,32.103
-110.761,32.215
-109.976,32.322
-109.189,32.422
-108.400,32.517
-107.609,32.606
-106.816,32.689
-106.022,32.767
-105.226,32.838
-104.428,32.904
-103.629,32.963
-102.830,33.017
-102.029,33.065
-101.227,33.107
-100.424,33.143
-99.621,33.173
-98.817,33.196
-98.012,33.214
-97.207,33.226
-96.402,33.232
-95.598,33.232
-94.793,33.226
-93.988,33.214
-93.183,33.196
-92.379,33.173
-91.576,33.143
-90.773,33.107
-89.971,33.065
-89.170,33.017
-88.371,32.963
-87.572,32.904
-86.774,32.838
-85.978,32.767
-85.184,32.689
-84.391,32.606
-83.600,32.517
-82.811,32.422
-82.024,32.322
-81.239,32.215
-114.034,32.395
-113.252,32.525
-112.467,32.650
-111.680,32.769
-110.891,32.882
-110.099,32.989
-109.305,33.091
-108.509,33.187
-107.711,33.277
-106.912,33.361
-106.110,33.439
-105.307,33.511
-104.503,33.577
-103.697,33.637
-102.890,33.692
-102.082,33.740
-101.273,33.782
-100.463,33.819
-99.653,33.849
-98.842,33.873
-98.030,33.891
-97.218,33.903
-96.406,33.909
-95.594,33.909
-94.782,33.903
-93.970,33.891
-93.158,33.873
-92.347,33.849
-91.537,33.819
-90.727,33.782
-89.918,33.740
-89.110,33.692
-88.303,33.637
-87.497,33.577
-86.693,33.511
-85.890,33.439
-85.088,33.361
-84.289,33.277
-83.491,33.187
-82.695,33.091
-81.901,32.989
-81.109,32.882
-80.320,32.769
-116.540,32.629
-115.761,32.777
-114.978,32.920
-114.192,33.058
-113.404,33.189
-112.612,33.315
-111.819,33.435
-111.023,33.549
-110.224,33.658
-109.423,33.760
-108.621,33.857
-107.816,33.948
-107.009,34.033
-106.201,34.112
-105.391,34.185
-104.579,34.251
-103.766,34.312
-102.952,34.367
-102.137,34.416
-101.321,34.459
-100.504,34.495
-99.686,34.526
-98.867,34.550
-98.048,34.568
-97.229,34.581
-96.410,34.587
-95.590,34.587
-94.771,34.581
-93.952,34.568
-93.133,34.550
-92.314,34.526
-91.496,34.495
-90.679,34.459
-89.863,34.416
-89.048,34.367
-88.234,34.312
-87.421,34.251
-86.609,34.185
-85.799,34.112
-84.991,34.033
-84.184,33.948
-83.379,33.857
-82.577,33.760
-81.776,33.658
-80.977,33.549
-80.181,33.435
-79.388,33.315
-116.721,33.287
-115.935,33.437
-115.145,33.582
-114.353,33.721
-113.558,33.853
-112.760,33.981
-111.960,34.102
-111.157,34.217
-110.351,34.327
-109.544,34.430
-108.734,34.528
-107.922,34.620
-107.108,34.705
