lon (deg E),lat (deg N)
-103.658,29.243
-100.602,29.424
-97.535,29.514
-82.288,28.613
-103.924,31.925
-100.762,32.113
-97.589,32.207
-94.411,32.207
-91.238,32.113
-88.076,31.925
-84.933,31.643
-81.816,31.270
-117.021,32.881
-113.877,33.456
-110.689,33.939
-107.464,34.327
-104.210,34.620
-100.934,34.816
-97.646,34.914
-94.354,34.914
-91.066,34.816
-87.790,34.620
-84.536,34.327
-81.311,33.939
-117.782,35.516
-114.531,36.113
-111.231,36.615
-107.890,37.018
-104.517,37.323
-101.120,37.527
-97.708,37.629
-94.292,37.629
-90.880,37.527
-87.483,37.323
-84.110,37.018
-80.769,36.615
-77.469,36.113
-121.901,37.435
-118.598,38.151
-115.234,38.771
-111.814,39.292
-108.349,39.711
-104.847,40.028
-101.319,40.239
-97.775,40.345
-94.225,40.345
-90.681,40.239
-87.153,40.028
-83.651,39.711
-80.186,39.292
-76.766,38.771
-122.895,40.038
-119.478,40.781
-115.991,41.424
-112.443,41.964
-108.845,42.400
-105.205,42.728
-101.535,42.947
-97.847,43.057
-94.153,43.057
-90.465,42.947
-83.155,42.400
-79.557,41.964
-76.009,41.424
-123.965,42.629
-120.426,43.399
-116.809,44.066
-113.124,44.626
-109.381,45.077
-105.592,45.417
-101.769,45.645
-97.925,45.759
-94.075,45.759
-90.231,45.645
-75.191,44.066
-71.574,43.399
-121.453,45.999
-117.696,46.689
-113.863,47.270
-109.964,47.737
-106.013,48.090
-102.023,48.326
-98.010,48.444
-93.990,48.444
