lon (deg E),lat (deg N)
-98.985,27.251
-81.201,26.208
-99.052,29.033
-97.018,29.073
-80.875,27.961
-103.272,30.619
-101.200,30.742
-99.122,30.824
-97.041,30.865
-94.959,30.865
-92.878,30.824
-90.800,30.742
-88.728,30.619
-86.664,30.455
-84.609,30.251
-82.565,30.007
-109.745,31.783
-107.656,32.033
-105.554,32.243
-103.442,32.411
-101.321,32.538
-99.195,32.622
-97.065,32.664
-94.935,32.664
-92.805,32.622
-90.679,32.538
-88.558,32.411
-86.446,32.243
-84.344,32.033
-82.255,31.783
-114.296,32.925
-112.192,33.265
-110.070,33.564
-107.932,33.821
-105.781,34.037
-103.619,34.209
-101.449,34.339
-99.272,34.426
-97.091,34.469
-94.909,34.469
-92.728,34.426
-90.551,34.339
-88.381,34.209
-86.219,34.037
-84.068,33.821
-81.930,33.564
-79.808,33.265
-116.865,34.302
-114.734,34.693
-112.582,35.042
-110.410,35.349
-108.222,35.613
-106.020,35.834
-103.806,36.011
-101.582,36.144
-99.352,36.233
-97.118,36.278
-94.882,36.278
-92.648,36.233
-90.418,36.144
-88.194,36.011
-85.980,35.834
-83.778,35.613
-81.590,35.349
-79.418,35.042
-77.266,34.693
-119.528,35.619
-117.373,36.062
-115.193,36.463
-112.990,36.821
-110.768,37.136
-108.527,37.407
-106.271,37.633
-104.002,37.815
-101.723,37.952
-99.437,38.043
-97.146,38.089
-94.854,38.089
-92.563,38.043
-90.277,37.952
-87.998,37.815
-85.729,37.633
-83.473,37.407
-81.232,37.136
-79.010,36.821
-76.807,36.463
-120.108,37.368
-117.905,37.822
-115.674,38.232
-113.420,38.600
-111.143,38.922
-108.847,39.200
-106.534,39.433
-104.208,39.619
-101.871,39.759
-99.525,39.853
-97.176,39.900
-94.824,39.900
-92.475,39.853
-90.129,39.759
-87.792,39.619
-85.466,39.433
-83.153,39.200
-80.857,38.922
-78.580,38.600
-122.942,38.606
-120.718,39.114
-118.463,39.579
-116.180,40.000
-113.871,40.377
-111.537,40.708
-109.183,40.993
-106.811,41.231
-104.425,41.422
-102.026,41.566
-99.619,41.662
-97.207,41.710
-94.793,41.710
-92.381,41.662
-89.974,41.566
-87.575,41.422
-85.189,41.231
-82.817,40.993
-80.463,40.708
-78.129,40.377
-75.820,40.000
-123.633,40.336
-121.359,40.857
-119.051,41.333
-116.712,41.765
-114.345,42.150
-111.953,42.489
-109.538,42.781
-107.104,43.025
-104.653,43.221
-102.190,43.369
-99.718,43.467
-97.240,43.516
-94.760,43.516
-92.282,43.467
-89.810,43.369
-84.896,43.025
-77.655,42.150
-75.288,41.765
-72.949,41.333
-122.032,42.594
-119.669,43.081
-117.272,43.523
-114.845,43.918
-112.391,44.266
-109.912,44.565
-107.412,44.815
-104.894,45.016
-102.363,45.166
-99.822,45.267
-97.275,45.318
-94.725,45.318
-92.178,45.267
-89.637,45.166
-84.588,44.815
-74.728,43.523
-72.331,43.081
-122.742,44.323
-120.320,44.822
-117.863,45.275
-115.373,45.679
-112.853,46.035
-110.307,46.341
-107.738,46.597
-105.149,46.803
-102.546,46.957
-99.932,47.060
-97.311,47.112
-94.689,47.112
-92.068,47.060
-71.680,44.822
-69.258,44.323
-123.489,46.042
-121.008,46.553
-118.487,47.016
-115.931,47.430
-113.342,47.794
-110.725,48.108
-108.082,48.370
-105.419,48.581
-102.740,48.739
-100.049,48.845
-97.350,48.898
-68.511,46.042
-124.279,47.750
-121.734,48.273
-119.147,48.747
