lon (deg E),lat (deg N)
-97.969,26.388
-98.058,29.953
-93.942,29.953
-81.709,28.986
-110.957,32.530
-106.731,33.038
-102.458,33.379
-98.156,33.550
-93.844,33.550
-89.542,33.379
-85.269,33.038
-81.043,32.530
-120.303,34.511
-116.041,35.385
-111.688,36.092
-107.260,36.627
-102.778,36.986
-98.263,37.166
-93.737,37.166
-89.222,36.986
-84.740,36.627
-80.312,36.092
-121.513,37.996
-117.056,38.914
-112.493,39.658
-107.844,40.220
-103.132,40.598
-98.382,40.787
-93.618,40.787
-88.868,40.598
-84.156,40.220
-79.507,39.658
-122.846,41.468
-118.176,42.432
-113.384,43.213
-108.491,43.803
-103.525,44.200
-98.513,44.399
-93.487,44.399
-88.475,44.200
-83.509,43.803
-78.616,43.213
-73.824,42.432
-119.420,45.924
-114.375,46.742
-109.213,47.362
-103.964,47.778
-98.661,47.986
-93.339,47.986
-88.036,47.778
-67.679,44.914
